round,year,player1,player2,firstPointWon1,firstPointWon2,return1,return2,net1,net2
1,2004,Roger Federer,Alex Jr. Bogomolov,80%,65%,46%,22%,83%,67%
1,2004,Rafael Nadal,Michal Tabara,78%,62%,51%,28%,73%,42%
2,2004,Rafael Nadal,Thierry Ascione,72%,55%,46%,35%,70%,60%
2,2004,Roger Federer,Jeff Morrison,77%,67%,42%,27%,77%,48%
3,2004,Roger Federer,Todd Reid,74%,44%,61%,30%,79%,46%
3,2004,Lleyton Hewitt,Rafael Nadal,72%,65%,39%,33%,68%,65%
4,2004,Roger Federer,Lleyton Hewitt,74%,66%,40%,33%,60%,41%
5,2004,Roger Federer,David Nalbandian,83%,68%,34%,33%,79%,57%
6,2004,Roger Federer,Juan Carlos Ferrero,83%,66%,39%,28%,76%,58%
7,2004,Roger Federer,Marat Safin,75%,63%,45%,32%,68%,55%
1,2005,Rafael Nadal,Julien Benneteau,77%,51%,59%,30%,67%,44%
1,2005,Marat Safin,Novak Djokovic,93%,41%,68%,25%,95%,27%
1,2005,Roger Federer,Fabrice Santoro,80%,49%,53%,29%,76%,40%
2,2005,Rafael Nadal,Mikhail Youzhny,66%,64%,44%,40%,70%,65%
2,2005,Roger Federer,Takao Suzuki,76%,55%,43%,26%,67%,51%
3,2005,Rafael Nadal,Bobby Reynolds,81%,54%,54%,29%,100%,43%
3,2005,Roger Federer,Jarkko Nieminen,66%,44%,55%,37%,63%,27%
4,2005,Lleyton Hewitt,Rafael Nadal,76%,65%,38%,36%,64%,69%
4,2005,Roger Federer,Marcos Baghdatis,85%,59%,43%,23%,67%,64%
5,2005,Roger Federer,Andre Agassi,77%,75%,35%,28%,68%,68%
6,2005,Marat Safin,Roger Federer,74%,82%,31%,35%,74%,76%
1,2006,Roger Federer,Denis Istomin,83%,58%,49%,25%,81%,57%
1,2006,Paul Goldstein,Novak Djokovic,71%,62%,46%,39%,61%,66%
2,2006,Roger Federer,Florian Mayer,76%,52%,51%,30%,80%,53%
3,2006,Roger Federer,Max Mirnyi,79%,69%,44%,19%,75%,53%
4,2006,Roger Federer,Tommy Haas,78%,63%,39%,33%,66%,69%
5,2006,Roger Federer,Nikolay Davydenko,74%,70%,36%,34%,60%,72%
6,2006,Roger Federer,Nicolas Kiefer,71%,71%,45%,30%,79%,70%
7,2006,Roger Federer,Marcos Baghdatis,71%,71%,46%,38%,78%,52%
1,2007,Rafael Nadal,Robert Kendrick,75%,75%,41%,26%,72%,54%
1,2007,Roger Federer,Bjorn Phau,70%,54%,56%,35%,75%,61%
1,2007,Novak Djokovic,Nicolas Massu,83%,46%,58%,25%,85%,40%
2,2007,Rafael Nadal,Philipp Kohlschreiber,70%,60%,45%,37%,67%,62%
2,2007,Novak Djokovic,Feliciano Lopez,69%,64%,49%,31%,56%,49%
2,2007,Roger Federer,Jonas Bjorkman,74%,52%,53%,29%,76%,47%
3,2007,Rafael Nadal,Stanislas Wawrinka,84%,58%,53%,27%,73%,62%
3,2007,Novak Djokovic,Danai Udomchoke,68%,64%,44%,36%,69%,63%
3,2007,Roger Federer,Mikhail Youzhny,83%,78%,40%,31%,80%,50%
4,2007,Rafael Nadal,Andy Murray,69%,74%,38%,35%,72%,69%
4,2007,Roger Federer,Novak Djokovic,80%,61%,45%,25%,63%,54%
5,2007,Fernando Gonzalez,Rafael Nadal,73%,70%,40%,31%,80%,65%
5,2007,Roger Federer,Tommy Robredo,72%,63%,47%,33%,73%,57%
6,2007,Roger Federer,Andy Roddick,81%,54%,55%,25%,91%,29%
7,2007,Roger Federer,Fernando Gonzalez,82%,69%,40%,20%,79%,64%
1,2008,Novak Djokovic,Benjamin Becker,84%,58%,50%,30%,81%,36%
1,2008,Roger Federer,Diego Hartfield,83%,51%,58%,25%,69%,50%
1,2008,Rafael Nadal,Viktor Troicki,67%,72%,41%,29%,77%,65%
2,2008,Roger Federer,Fabrice Santoro,76%,44%,58%,23%,81%,50%
2,2008,Novak Djokovic,Simone Bolelli,76%,50%,53%,29%,50%,63%
2,2008,Rafael Nadal,Florent Serra,77%,49%,60%,33%,67%,43%
3,2008,Novak Djokovic,Sam Querrey,75%,61%,50%,24%,62%,62%
3,2008,Roger Federer,Janko Tipsarevic,89%,71%,36%,24%,75%,55%
3,2008,Rafael Nadal,Gilles Simon,75%,63%,45%,30%,82%,70%
4,2008,Roger Federer,Tomas Berdych,75%,75%,36%,26%,50%,53%
4,2008,Novak Djokovic,Lleyton Hewitt,73%,60%,49%,38%,75%,70%
4,2008,Rafael Nadal,Paul-Henri Mathieu,89%,55%,51%,17%,100%,38%
5,2008,Novak Djokovic,David Ferrer,76%,57%,49%,33%,83%,52%
5,2008,Roger Federer,James Blake,75%,70%,41%,30%,71%,60%
5,2008,Rafael Nadal,Jarkko Nieminen,78%,63%,45%,34%,78%,53%
6,2008,Novak Djokovic,Roger Federer,78%,72%,39%,34%,79%,71%
6,2008,Jo-Wilfried Tsonga,Rafael Nadal,86%,56%,46%,25%,75%,47%
7,2008,Novak Djokovic,Jo-Wilfried Tsonga,78%,71%,36%,29%,79%,52%
1,2009,Rafael Nadal,Christophe Rochus,91%,57%,54%,14%,89%,50%
1,2009,Novak Djokovic,Andrea Stoppini,68%,56%,51%,35%,47%,59%
1,2009,Roger Federer,Andreas Seppi,76%,68%,41%,33%,72%,68%
2,2009,Rafael Nadal,Roko Karanusic,75%,69%,45%,30%,73%,65%
2,2009,Novak Djokovic,Jeremy Chardy,75%,61%,45%,27%,75%,37%
2,2009,Roger Federer,Evgeny Korolev,71%,54%,51%,29%,67%,52%
3,2009,Rafael Nadal,Tommy Haas,81%,57%,49%,19%,87%,57%
3,2009,Novak Djokovic,Amer Delic,79%,77%,37%,31%,65%,68%
3,2009,Roger Federer,Marat Safin,85%,63%,39%,24%,46%,43%
4,2009,Rafael Nadal,Fernando Gonzalez,78%,59%,48%,27%,71%,44%
4,2009,Roger Federer,Tomas Berdych,71%,71%,39%,37%,69%,50%
4,2009,Novak Djokovic,Marcos Baghdatis,74%,64%,44%,33%,76%,67%
5,2009,Rafael Nadal,Gilles Simon,73%,71%,44%,32%,87%,66%
5,2009,Roger Federer,Juan Martin Del Potro,86%,46%,59%,17%,84%,45%
5,2009,Andy Roddick,Novak Djokovic,87%,63%,43%,25%,54%,50%
6,2009,Rafael Nadal,Fernando Verdasco,72%,71%,34%,31%,70%,65%
6,2009,Roger Federer,Andy Roddick,83%,70%,36%,26%,63%,50%
7,2009,Rafael Nadal,Roger Federer,66%,73%,40%,41%,58%,72%
1,2010,Roger Federer,Igor Andreev,75%,56%,48%,34%,74%,59%
1,2010,Novak Djokovic,Daniel Gimeno-Traver,76%,71%,42%,28%,63%,82%
1,2010,Rafael Nadal,Peter Luczak,76%,70%,41%,30%,86%,72%
2,2010,Roger Federer,Victor Hanescu,82%,56%,47%,24%,81%,62%
2,2010,Novak Djokovic,Marco Chiudinelli,75%,58%,48%,38%,73%,58%
2,2010,Rafael Nadal,Lukas Lacko,71%,59%,52%,29%,80%,56%
3,2010,Roger Federer,Albert Montanes,88%,60%,38%,22%,73%,70%
3,2010,Novak Djokovic,Denis Istomin,73%,39%,67%,35%,71%,38%
